Loading inference model from files models/output_graph.pbLoaded inference model in 0.21s.# File (10_A_1.wav):
# - WER = 0.667
# File (21_F_4.wav):
# - 2.62 seconds long.
# - actual    text: 'which news topics are available'
# - processed text: 'vich news tabics are wadable'
# - processed in 2.643 seconds.
# - WER = 0.6
# File (21_F_5.wav):
# - 3.88 seconds long.
# - actual    text: 'set business as preferred news category'
# - processed text: 'said bosners as preveret news category'
# - processed in 3.931 seconds.
# - WER = 0.5
# File (21_F_6.wav):
# - 2.393625 seconds long.
# - actual    text: 'how does the news skills work'
# - processed text: 'how a daes te new scolts welk'
# - processed in 2.432 seconds.
# - WER = 1.0
# File (21_F_7.wav):
# - 2.17 seconds long.
# - actual    text: 'will it rain today in manchester'
# - processed text: 'reliteranger oin mengiones sir'
# - processed in 2.167 seconds.
# - WER = 1.0
# File (21_F_8.wav):
# - 3.443625 seconds long.
# - actual    text: 'what's the weather going to be like on sunday'
# - processed text: 'wance sevatha going to belike on sunday'
# - processed in 3.522 seconds.
# - WER = 0.6
# File (21_F_9.wav):
# - 2.16 seconds long.
# - actual    text: 'do i need an umbrella tomorrow'
# - processed text: 'doring his number a atte morrow'
# - processed in 2.181 seconds.
# - WER = 1.0
# File (21_G_1.wav):
# - 3.38 seconds long.
# - actual    text: 'how long does it take from london to liverpool by car'
# - processed text: 'how long does a take from lononto liveap wu by call'
# - processed in 3.435 seconds.
# - WER = 0.455
# File (21_G_2.wav):
# - 3.76 seconds long.
# - actual    text: 'set my location to kennington road four in london'
# - processed text: 'said my loocation to canning and rod for an lonton'
# - processed in 3.819 seconds.
# - WER = 0.889
# File (21_G_3.wav):
# - 2.35 seconds long.
# - actual    text: 'i need help with navigation'
# - processed text: 'i nee teve a nevigation'
# - processed in 2.351 seconds.
# - WER = 0.8
# File (21_G_4.wav):
# - 3.2253125 seconds long.
# - actual    text: 'what restaurants are within five kilometres'
# - processed text: 'what resturants ofe he find five kilamators'
# - processed in 3.296 seconds.
# - WER = 0.833
# File (21_G_5.wav):
# - 3.0 seconds long.
# - actual    text: 'how far is it to the university of oxford'
# - processed text: 'how far as it was a university of ox fort'
# - processed in 3.054 seconds.
# - WER = 0.556
# File (21_G_6.wav):
# - 4.3475 seconds long.
# - actual    text: 'how long does it take from buckingham palace to tower of london on foot'
# - processed text: 'how long does a take com backing ham palace to tol of lantnonfood'
# - processed in 4.444 seconds.
# - WER = 0.571
# File (21_G_7.wav):
# - 3.033625 seconds long.
# - actual    text: 'find me a burger restaurant nearby'
# - processed text: 'fine me aboggarasterang neb'
# - processed in 3.056 seconds.
# - WER = 0.833
# File (21_G_8.wav):
# - 3.35 seconds long.
# - actual    text: 'what's the address of the nearest tesco store'
# - processed text: 'whalt saw tress off soneres tesco stol'
# - processed in 3.387 seconds.
# - WER = 0.889
# File (21_H_1.wav):
# - 2.29 seconds long.
# - actual    text: 'how many feet are in a mile'
# - processed text: 'how many feet or a mile'
# - processed in 2.306 seconds.
# - WER = 0.286
# File (21_H_2.wav):
# - 2.59 seconds long.
# - actual    text: 'what's seven times forty four'
# - processed text: 'wat servan times forty four'
# - processed in 2.634 seconds.
# - WER = 0.5
# File (21_H_3.wav):
# - 3.36875 seconds long.
# - actual    text: 'what's two hundred twenty five divided by five'
# - processed text: 'whats to hunde twenty five to vite pyve five'
# - processed in 3.415 seconds.
# - WER = 0.778
# File (21_H_4.wav):
# - 5.58825 seconds long.
# - actual    text: 'what's fifteen percent of one hundred twenty eight'
# - processed text: 'whats fifteen carson of one handed twenty eight'
# - processed in 5.749 seconds.
# - WER = 0.444
# File (21_H_5.wav):
# - 4.45 seconds long.
# - actual    text: 'is three hundred thirty seven a prime number'
# - processed text: 'his sere handebs serty saven abrime number'
# - processed in 4.486 seconds.
# - WER = 0.875
# File (21_I_1.wav):
# - 2.17 seconds long.
# - actual    text: 'what's the definition of cat'
# - processed text: 'what's the diffinition of cat'
# - processed in 2.224 seconds.
# - WER = 0.167
# File (21_I_2.wav):
# - 1.76 seconds long.
# - actual    text: 'what does to share mean'
# - processed text: 'how do you speld date'
# - processed in 1.768 seconds.
# - WER = 1.0
# File (21_I_3.wav):
# - 2.0 seconds long.
# - actual    text: 'how do you spell date'
# - processed text: 'what does to shar mean'
# - processed in 2.021 seconds.
# - WER = 1.0
# File (21_I_4.wav):
# - 2.72 seconds long.
# - actual    text: 'tell me words that start with an a'
# - processed text: 'tam y wes a start with an ave'
# - processed in 2.727 seconds.
# - WER = 0.625
# File (21_I_5.wav):
# - 4.22 seconds long.
# - actual    text: 'which words contain c o n'
# - processed text: 'wich words containd sea all an'
# - processed in 4.276 seconds.
# - WER = 0.833
# File (21_I_6.wav):
# - 1.91 seconds long.
# - actual    text: 'can you translate cat'
# - processed text: 'can you dwenslate cat'
# - processed in 1.91 seconds.
# - WER = 0.25
# File (21_I_7.wav):
# - 1.96 seconds long.
# - actual    text: 'what is dog in german'
# - processed text: 'what is stock and chermin'
# - processed in 1.983 seconds.
# - WER = 0.6
# File (21_I_8.wav):
# - 3.28 seconds long.
# - actual    text: 'set the number of words for translations to three'
# - processed text: 'said som number of words for trans lation to three'
# - processed in 3.338 seconds.
# - WER = 0.444
# File (21_I_9.wav):
# - 2.53 seconds long.
# - actual    text: 'what is another word for dashboard'
# - processed text: 'what is another god for desh part'
# - processed in 2.532 seconds.
# - WER = 0.5
# File (21_J_1.wav):
# - 2.59 seconds long.
# - actual    text: 'turn on the living room lights please'
# - processed text: 'turn on teliving room lights please'
# - processed in 2.636 seconds.
# - WER = 0.286
# File (21_J_2.wav):
# - 4.32 seconds long.
# - actual    text: 'set the temperature in the kitchen to twenty two degrees'
# - processed text: 'seid setember a char ans e kitchen to tranty twotigrees'
# - processed in 4.412 seconds.
# - WER = 0.9
# File (21_J_3.wav):
# - 2.59 seconds long.
# - actual    text: 'set the shutters to fifteen percent'
# - processed text: 'sad so chata's to fifteen percent'
# - processed in 2.632 seconds.
# - WER = 0.667
# File (21_J_4.wav):
# - 2.48 seconds long.
# - actual    text: 'please lower the blinds by half'
# - processed text: 'please lowers epplianc by half'
# - processed in 2.491 seconds.
# - WER = 0.5
# File (21_K_1.wav):
# - 2.0 seconds long.
# - actual    text: 'how old is queen elizabeth'
# - processed text: 'how ordescreen alizabes'
# - processed in 2.017 seconds.
# - WER = 0.8
# File (21_K_10.wav):
# - 1.68 seconds long.
# - actual    text: 'do you like to travel'
# - processed text: 'do you like to travel'
# - processed in 1.717 seconds.
# - WER = 0.0
# File (21_K_11.wav):
# - 2.21 seconds long.
# - actual    text: 'what kind of music do you like'
# - processed text: 'what kind of fusic do you like'
# - processed in 2.221 seconds.
# - WER = 0.143
# File (21_K_2.wav):
# - 2.34 seconds long.
# - actual    text: 'how many people live in australia'
# - processed text: 'how many people liv in a stralan'
# - processed in 2.375 seconds.
# - WER = 0.5
# File (21_K_3.wav):
# - 2.54 seconds long.
# - actual    text: 'what's the height of the eiffel tower'
# - processed text: 'what sa hide of ther ifer tower'
# - processed in 2.531 seconds.
# - WER = 0.625
# File (21_K_4.wav):
# - 1.99 seconds long.
# - actual    text: 'how long is the river danube'
# - processed text: 'how along the ser over tunube'
# - processed in 1.993 seconds.
# - WER = 0.833
# File (21_K_5.wav):
# - 3.01 seconds long.
# - actual    text: 'how tall is the tallest mountain in the alps'
# - processed text: 'how tall as se tallast mountainain oils'
# - processed in 3.027 seconds.
# - WER = 0.778
# File (21_K_6.wav):
# - 2.92 seconds long.
# - actual    text: 'which movies did tom cruise play in'
# - processed text: 'wich movies tetum ru's play in'
# - processed in 2.937 seconds.
# - WER = 0.571
# File (21_K_7.wav):
# - 1.8964375 seconds long.
# - actual    text: 'what do you dream about'
# - processed text: 'wil do you atream about'
# - processed in 1.918 seconds.
# - WER = 0.4
# File (21_K_8.wav):
# - 1.9 seconds long.
# - actual    text: 'what's your favourite colour'
# - processed text: 'what's your favorite collor'
# - processed in 1.92 seconds.
# - WER = 0.4
# File (21_K_9.wav):
# - 3.1264375 seconds long.
# - actual    text: 'what do you do when i'm not at home'
# - processed text: 'wot do you do when i'm not at ome'
# - processed in 3.201 seconds.
# - WER = 0.2
# File (22_A_1.wav):
# - 1.9418125 seconds long.
# - actual    text: 'athena turn on the lights'
# - processed text: 'a fenat turn n the lights'
# - processed in 1.974 seconds.
# - WER = 0.6
# File (22_A_2.wav):
# - 2.1458125 seconds long.
# - actual    text: 'minerva turn on the lights'
# - processed text: 'me nava turn on the lagts'
# - processed in 2.157 seconds.
# - WER = 0.6
# File (22_A_3.wav):
# - 2.1845 seconds long.
# - actual    text: 'artemis turn on the lights'
# - processed text: 'i to miss turn on the lights'
# - processed in 2.205 seconds.
# - WER = 0.6
# File (22_A_4.wav):
# - 2.0951875 seconds long.
# - actual    text: 'freya turn on the lights'
# - processed text: 'fray a turn on the lights'
# - processed in 2.155 seconds.
# - WER = 0.4
# File (22_A_5.wav):
# - 2.1844375 seconds long.
# - actual    text: 'james turn on the lights'
# - processed text: 'chames turn on the lads'
# - processed in 2.189 seconds.
# - WER = 0.4
# File (22_A_6.wav):
# - 2.4358125 seconds long.
# - actual    text: 'computer turn on the lights'
# - processed text: 'computer turn on the lights'
# - processed in 2.469 seconds.
# - WER = 0.0
# File (22_B_1.wav):
# - 2.2308125 seconds long.
# - actual    text: 'mute unmute'
# - processed text: 'mute an mue'
# - processed in 2.211 seconds.
# - WER = 1.0
# File (22_B_2.wav):
# - 2.4965625 seconds long.
# - actual    text: 'stop abort'
# - processed text: 'stop a bart'
# - processed in 2.486 seconds.
# - WER = 1.0
# File (22_B_3.wav):
# - 2.3906875 seconds long.
# - actual    text: 'pause resume'
# - processed text: 'pass resume'
# - processed in 2.373 seconds.
# - WER = 0.5
# File (22_B_4.wav):
# - 2.1458125 seconds long.
# - actual    text: 'next back'
# - processed text: 'next beck'
# - processed in 2.134 seconds.
# - WER = 0.5
# File (22_B_5.wav):
# - 1.17 seconds long.
# - actual    text: 'louder'
# - processed text: 'louder'
# - processed in 1.163 seconds.
# - WER = 0.0
# File (22_B_6.wav):
# - 1.6281875 seconds long.
# - actual    text: 'turn the volume down'
# - processed text: 'turn the wolum down'
# - processed in 1.632 seconds.
# - WER = 0.25
# File (22_B_7.wav):
# - 1.6431875 seconds long.
# - actual    text: 'set volume to six'
# - processed text: 'set omanyone to six'
# - processed in 1.658 seconds.
# - WER = 0.25
# File (22_C_1.wav):
# - 2.22 seconds long.
# - actual    text: 'play some music by bon jovi'
# - processed text: 'place some usic bypon shobe'
# - processed in 2.236 seconds.
# - WER = 0.833
# File (22_C_2.wav):
# - 2.41 seconds long.
# - actual    text: 'play my eighties rock playlist now'
# - processed text: 'play my eighty trup playlist now'
# - processed in 2.431 seconds.
# - WER = 0.333
# File (22_C_3.wav):
# - 2.14 seconds long.
# - actual    text: 'what song is currently playing'
# - processed text: 'what song as currently playing'
# - processed in 2.165 seconds.
# - WER = 0.2
# File (22_C_4.wav):
# - 2.53 seconds long.
# - actual    text: 'please add this song to my favourites'
# - processed text: 'please at the song to my favourites'
# - processed in 2.564 seconds.
# - WER = 0.286
# File (22_C_5.wav):
# - 2.18 seconds long.
# - actual    text: 'what can i do with the music skill'
# - processed text: 'what can i do with the music skil'
# - processed in 2.196 seconds.
# - WER = 0.125
# File (22_D_1.wav):
# - 2.89 seconds long.
# - actual    text: 'set an alarm for five am please'
# - processed text: 'sud an a lorme for five a mplese'
# - processed in 2.887 seconds.
# - WER = 0.714
# File (22_D_2.wav):
# - 2.77 seconds long.
# - actual    text: 'how much time is left on my pizza timer'
# - processed text: 'how much time is te left on my pitz a time'
# - processed in 2.795 seconds.
# - WER = 0.444
# File (22_D_3.wav):
# - 3.13 seconds long.
# - actual    text: 'remind me of the tennis training tonight at five'
# - processed text: 'remind me of the tennist rening to neited five'
# - processed in 3.161 seconds.
# - WER = 0.444
# File (22_D_4.wav):
# - 2.1691875 seconds long.
# - actual    text: 'cancel all my timers'
# - processed text: 'cansl all my time as'
# - processed in 2.155 seconds.
# - WER = 0.75
# File (22_D_5.wav):
# - 1.159875 seconds long.
# - actual    text: 'what's the date'
# - processed text: 'what's the date'
# - processed in 1.17 seconds.
# - WER = 0.0
# File (22_D_6.wav):
# - 2.35 seconds long.
# - actual    text: 'when is easter sunday this year'
# - processed text: 'when is essasonday thes year'
# - processed in 2.349 seconds.
# - WER = 0.5
# File (22_E_1.wav):
# - 2.281875 seconds long.
# - actual    text: 'add milk and cheese to my shopping list'
# - processed text: 'at mulan ches to my shopping mist'
# - processed in 2.318 seconds.
# - WER = 0.625
# File (22_E_2.wav):
# - 1.8945 seconds long.
# - actual    text: 'create a new appointment'
# - processed text: 'creat an yew upontment'
# - processed in 1.903 seconds.
# - WER = 1.0
# File (22_E_3.wav):
# - 5.367875 seconds long.
# - actual    text: 'put doctor smith on my calendar for nineteenth of july at five pm'
# - processed text: 'put docter smith on my calender of for nine teens of troly ad five pm'
# - processed in 5.526 seconds.
# - WER = 0.538
# File (22_E_4.wav):
# - 3.45 seconds long.
# - actual    text: 'remind me to mow the lawn next saturday'
# - processed text: 'and cape remind me to more tha long next cetaday'
# - processed in 3.506 seconds.
# - WER = 0.75
# File (22_E_5.wav):
# - 2.93 seconds long.
# - actual    text: 'what reminders do i have for this weekend'
# - processed text: 'whatderemindes to i have for this weekend'
# - processed in 3.009 seconds.
# - WER = 0.375
# File (22_F_1.wav):
# - 2.4164375 seconds long.
# - actual    text: 'give me articles about politics'
# - processed text: 'give me artiguce about politics'
# - processed in 2.435 seconds.
# - WER = 0.2
# File (22_F_2.wav):
# - 1.4111875 seconds long.
# - actual    text: 'tell me the news'
# - processed text: 'tul min the news'
# - processed in 1.421 seconds.
# - WER = 0.5
# File (22_F_3.wav):
# - 1.4885625 seconds long.
# - actual    text: 'what happened today'
# - processed text: 'what happened to day'
# - processed in 1.504 seconds.
# - WER = 0.667
# File (22_F_4.wav):
# - 2.58 seconds long.
# - actual    text: 'which news topics are available'
# - processed text: 'which news topics are ovailable'
# - processed in 2.616 seconds.
# - WER = 0.2
# File (22_F_5.wav):
# - 2.97 seconds long.
# - actual    text: 'set business as preferred news category'
# - processed text: 'said bisness as preferred news ketegary'
# - processed in 3.0 seconds.
# - WER = 0.5
# File (22_F_6.wav):
# - 2.01 seconds long.
# - actual    text: 'how does the news skill work'
# - processed text: 'how just the muse sgillwork'
# - processed in 2.031 seconds.
# - WER = 0.667
# File (22_F_7.wav):
# - 2.165125 seconds long.
# - actual    text: 'will it rain today in manchester'
# - processed text: 'wil it ran a dat in mantioster'
# - processed in 2.2 seconds.
# - WER = 0.833
# File (22_F_8.wav):
# - 2.687125 seconds long.
# - actual    text: 'what's the weather going to be like on sunday'
# - processed text: 'what e weather going to belike on sunday'
# - processed in 2.781 seconds.
# - WER = 0.4
# File (22_F_9.wav):
# - 2.0 seconds long.
# - actual    text: 'do i need an umbrella tomorrow'
# - processed text: 'to any than umbrella to morrow'
# - processed in 2.045 seconds.
# - WER = 1.0
# File (22_G_1.wav):
# - 3.4 seconds long.
# - actual    text: 'how long does it take from london to liverpool by car'
# - processed text: 'hor long dositake from lonen to live ap wood by car'
# - processed in 3.475 seconds.
# - WER = 0.727
# File (22_G_2.wav):
# - 3.54 seconds long.
# - actual    text: 'set my location to kennington road four in london'
# - processed text: 'said manocuation to kinnen rod for in london'
# - processed in 3.612 seconds.
# - WER = 0.667
# File (22_G_3.wav):
# - 1.94 seconds long.
# - actual    text: 'i need help with navigation'
# - processed text: 'i ne hord with them egation'
# - processed in 2.005 seconds.
# - WER = 0.8
# File (22_G_4.wav):
# - 3.25 seconds long.
# - actual    text: 'what restaurants are within five kilometres'
# - processed text: 'ant rest uras i with in five clumagers'
# - processed in 3.284 seconds.
# - WER = 1.167
# File (22_G_5.wav):
# - 2.754375 seconds long.
# - actual    text: 'how far is it to the university of oxford'
# - processed text: 'how far is ir to the university of oxford'
# - processed in 2.828 seconds.
# - WER = 0.111
# File (22_G_6.wav):
# - 4.0 seconds long.
# - actual    text: 'how long does it take from buckingham palace to tower of london on foot'
# - processed text: 'how long does itake from backihim pallace to tow of lonan on food'
# - processed in 4.084 seconds.
# - WER = 0.5
# File (22_G_7.wav):
# - 2.46 seconds long.
# - actual    text: 'find me a burger restaurant nearby'
# - processed text: 'fint me a broger a suron meabine'
# - processed in 2.475 seconds.
# - WER = 0.833
# File (22_G_8.wav):
# - 2.78 seconds long.
# - actual    text: 'what's the address of the nearest tesco store'
# - processed text: 'what's the address of the nearest tescustor'
# - processed in 2.817 seconds.
# - WER = 0.222
# File (22_H_1.wav):
# - 1.8611875 seconds long.
# - actual    text: 'how many feet are in a mile'
# - processed text: 'how many feet are in a mid'
# - processed in 1.865 seconds.
# - WER = 0.143
# File (22_H_2.wav):
# - 2.1748125 seconds long.
# - actual    text: 'what's seven times forty four'
# - processed text: 'what seven times for tefore'
# - processed in 2.189 seconds.
# - WER = 0.5
# File (22_H_3.wav):
# - 3.11 seconds long.
# - actual    text: 'what's two hundred twenty five divided by five'
# - processed text: 'what's to hundred twenty five dyvite by five'
# - processed in 3.146 seconds.
# - WER = 0.222
# File (22_H_4.wav):
# - 2.99 seconds long.
# - actual    text: 'what's fifteen percent of one hundred twenty eight'
# - processed text: 'what's fifteen pacent of oe hundred twenty eight'
# - processed in 3.056 seconds.
# - WER = 0.222
# File (22_H_5.wav):
# - 3.2225 seconds long.
# - actual    text: 'is three hundred thirty seven a prime number'
# - processed text: 'is th reanid seratys seven a prime number'
# - processed in 3.29 seconds.
# - WER = 0.375
# File (22_I_1.wav):
# - 1.74 seconds long.
# - actual    text: 'what's the definition of cat'
# - processed text: 'what the difinition of kat'
# - processed in 1.77 seconds.
# - WER = 0.5
# File (22_I_2.wav):
# - 2.18 seconds long.
# - actual    text: 'what does to share mean'
# - processed text: 'whath dust to share me'
# - processed in 2.196 seconds.
# - WER = 0.6
# File (22_I_3.wav):
# - 1.83 seconds long.
# - actual    text: 'how do you spell date'
# - processed text: 'how do you spell tate'
# - processed in 1.822 seconds.
# - WER = 0.2
# File (22_I_4.wav):
# - 2.6040625 seconds long.
# - actual    text: 'tell me words that start with an a'
# - processed text: 'telly worse that star was an a'
# - processed in 2.618 seconds.
# - WER = 0.625
# File (22_I_5.wav):
# - 3.2090625 seconds long.
# - actual    text: 'which words contain c o n'
# - processed text: 'which words contained se o en'
# - processed in 3.214 seconds.
# - WER = 0.5
# File (22_I_6.wav):
# - 1.75 seconds long.
# - actual    text: 'can you translate cat'
# - processed text: 'can you franstate te cat'
# - processed in 1.751 seconds.
# - WER = 0.5
# File (22_I_7.wav):
# - 1.89 seconds long.
# - actual    text: 'what is dog in german'
# - processed text: 'what is dark and cherman'
# - processed in 1.891 seconds.
# - WER = 0.6
# File (22_I_8.wav):
# - 3.79 seconds long.
# - actual    text: 'set the number of words for translations to three'
# - processed text: 'set th a number of words for twen lations to three'
# - processed in 3.934 seconds.
# - WER = 0.444
# File (22_I_9.wav):
# - 2.35 seconds long.
# - actual    text: 'what is another word for dashboard'
# - processed text: 'what is thanother word for desh port'
# - processed in 2.397 seconds.
# - WER = 0.5
# File (22_J_1.wav):
# - 2.592125 seconds long.
# - actual    text: 'turn on the living room lights please'
# - processed text: 'turn on the living room lights please'
# - processed in 2.649 seconds.
# - WER = 0.0
# File (22_J_2.wav):
# - 3.615 seconds long.
# - actual    text: 'set the temperature in the kitchen to twenty two degrees'
# - processed text: 'sut the tember ater and the kitchen to twenty two degrees'
# - processed in 3.835 seconds.
# - WER = 0.4
# File (22_J_3.wav):
# - 2.412625 seconds long.
# - actual    text: 'sets the shutters to fifty percent'
# - processed text: 'sets the shutters to fifty percent'
# - processed in 2.466 seconds.
# - WER = 0.0
# File (22_J_4.wav):
# - 2.13 seconds long.
# - actual    text: 'please lower the blinds by half'
# - processed text: 'please lnow othe blinds by half'
# - processed in 2.138 seconds.
# - WER = 0.333
# File (22_K_1.wav):
# - 2.53 seconds long.
# - actual    text: 'how old is queen elizabeth'
# - processed text: 'ho how old is crearis abeth'
# - processed in 2.521 seconds.
# - WER = 0.6
# File (22_K_10.wav):
# - 1.4015625 seconds long.
# - actual    text: 'do you like to travel'
# - processed text: 'to lice to travel'
# - processed in 1.418 seconds.
# - WER = 0.6
# File (22_K_11.wav):
# - 1.797875 seconds long.
# - actual    text: 'what kind of music do you like'
# - processed text: 'what kind of music do you like'
# - processed in 1.825 seconds.
# - WER = 0.0
# File (22_K_2.wav):
# - 2.29 seconds long.
# - actual    text: 'how many people live in australia'
# - processed text: 'how many people lifinus trailian'
# - processed in 2.318 seconds.
# - WER = 0.5
# File (22_K_3.wav):
# - 2.29 seconds long.
# - actual    text: 'what's the height of the eiffel tower'
# - processed text: 'what the highe of the eivotoerm'
# - processed in 2.307 seconds.
# - WER = 0.5
# File (22_K_4.wav):
# - 2.49 seconds long.
# - actual    text: 'how long is the river danube'
# - processed text: 'how long as the rever done be'
# - processed in 2.485 seconds.
# - WER = 0.667
# File (22_K_5.wav):
# - 2.6476875 seconds long.
# - actual    text: 'how tall is the tallest mountain in the alps'
# - processed text: 'how toll if the tallest mountin in the ops'
# - processed in 2.703 seconds.
# - WER = 0.444
# File (22_K_6.wav):
# - 2.397125 seconds long.
# - actual    text: 'which movies did tom cruise play in'
# - processed text: 'which smovies ditctom cruws play and'
# - processed in 2.426 seconds.
# - WER = 0.714
# File (22_K_7.wav):
# - 1.4743125 seconds long.
# - actual    text: 'what do you dream about'
# - processed text: 'what do you drim about'
# - processed in 1.5 seconds.
# - WER = 0.2
# File (22_K_8.wav):
# - 1.623875 seconds long.
# - actual    text: 'what's your favourite colour'
# - processed text: 'whats suffavorite colar'
# - processed in 1.654 seconds.
# - WER = 1.0
# File (22_K_9.wav):
# - 2.1405 seconds long.
# - actual    text: 'what do you do when i'm not at home'
# - processed text: 'what do you do when i'm not at home'
# - processed in 2.171 seconds.
# - WER = 0.0
# File (23_A_1.wav):
# - 2.021875 seconds long.
# - actual    text: 'athena turn on the lights'
# - processed text: 'at the natern on the dight'
# - processed in 2.063 seconds.
# - WER = 0.8
# File (23_A_2.wav):
# - 2.755 seconds long.
# - actual    text: 'minerva turn on the lights'
# - processed text: 'menaro turn on the lights'
# - processed in 2.803 seconds.
# - WER = 0.2
# File (23_A_3.wav):
# - 2.6604375 seconds long.
# - actual    text: 'artemis turn on the lights'
# - processed text: 'a teamiss turn on the lights'
# - processed in 2.737 seconds.
# - WER = 0.4
# File (23_A_4.wav):
# - 2.03375 seconds long.
# - actual    text: 'freya turn on the lights'
# - processed text: 'fare turn on the lights'
# - processed in 2.059 seconds.
# - WER = 0.2
# File (23_A_5.wav):
# - 1.7263125 seconds long.
# - actual    text: 'james turn on the lights'
# - processed text: 'chamed ghannel the light'
# - processed in 1.746 seconds.
# - WER = 0.8
# File (23_A_6.wav):
# - 1.951 seconds long.
# - actual    text: 'computer turn on the lights'
# - processed text: 'computer turn on the lights'
# - processed in 1.979 seconds.
# - WER = 0.0
# File (23_B_1.wav):
# - 1.8090625 seconds long.
# - actual    text: 'mute unmute'
# - processed text: 'mouth un nute'
# - processed in 1.796 seconds.
# - WER = 1.5
# File (23_B_2.wav):
# - 1.773625 seconds long.
# - actual    text: 'stop abort'
# - processed text: 'stop and pored'
# - processed in 1.783 seconds.
# - WER = 1.0
# File (23_B_3.wav):
# - 2.175625 seconds long.
# - actual    text: 'pause resume'
# - processed text: 'pas ris une'
# - processed in 2.153 seconds.
# - WER = 1.5
# File (23_B_4.wav):
# - 1.7263125 seconds long.
# - actual    text: 'next back'
# - processed text: 'next back'
# - processed in 1.725 seconds.
# - WER = 0.0
# File (23_B_5.wav):
# - 1.0641875 seconds long.
# - actual    text: 'louder'
# - processed text: 'louder'
# - processed in 1.064 seconds.
# - WER = 0.0
# File (23_B_6.wav):
# - 1.655375 seconds long.
# - actual    text: 'turn the volume down'
# - processed text: 'turn the volume down'
# - processed in 1.679 seconds.
# - WER = 0.0
# File (23_B_7.wav):
# - 1.8445625 seconds long.
# - actual    text: 'set volume to six'
# - processed text: 'said orium to six'
# - processed in 1.845 seconds.
# - WER = 0.5
# File (23_C_1.wav):
# - 2.8023125 seconds long.
# - actual    text: 'play some music by bon jovi'
# - processed text: 'place ham music by buncori'
# - processed in 2.824 seconds.
# - WER = 0.667
# File (23_C_2.wav):
# - 2.695875 seconds long.
# - actual    text: 'play my eighties rock playlist now'
# - processed text: 'play my aid his throck playlests now'
# - processed in 2.734 seconds.
# - WER = 0.667
# File (23_C_3.wav):
# - 2.3648125 seconds long.
# - actual    text: 'what song is currently playing'
# - processed text: 'what song is currently playing'
# - processed in 2.388 seconds.
# - WER = 0.0
# File (23_C_4.wav):
# - 3.1451875 seconds long.
# - actual    text: 'please add this song to my favourites'
# - processed text: 'please at the song to my favorite'
# - processed in 3.19 seconds.
# - WER = 0.429
# File (23_C_5.wav):
# - 2.967875 seconds long.
# - actual    text: 'what can i do with the music skill'
# - processed text: 'what can i do with the music scir'
# - processed in 3.012 seconds.
# - WER = 0.125
# File (23_D_1.wav):
# - 3.771875 seconds long.
# - actual    text: 'set an alarm for five am please'
# - processed text: 'said an unarm for five ta m pes'
# - processed in 3.771 seconds.
# - WER = 0.714
# File (23_D_2.wav):
# - 3.358 seconds long.
# - actual    text: 'how much time is left on my pizza timer'
# - processed text: 'how much time as slift on my pit a time of'
# - processed in 3.38 seconds.
# - WER = 0.667
# File (23_D_3.wav):
# - 5.0015625 seconds long.
# - actual    text: 'remind me of the tennis training tonight at five'
# - processed text: 'remind me of the tennist training to night at five'
# - processed in 5.091 seconds.
# - WER = 0.333
# File (23_D_4.wav):
# - 1.951 seconds long.
# - actual    text: 'cancel all my timers'
# - processed text: 'cancel all my time es'
# - processed in 1.964 seconds.
# - WER = 0.5
# File (23_D_5.wav):
# - 1.59625 seconds long.
# - actual    text: 'what's the date'
# - processed text: 'what's the date'
# - processed in 1.592 seconds.
# - WER = 0.0
# File (23_D_6.wav):
# - 2.6013125 seconds long.
# - actual    text: 'when is easter sunday this year'
# - processed text: 'when as easter sunday the siear'
# - processed in 2.625 seconds.
# - WER = 0.5
# File (23_E_1.wav):
# - 2.90875 seconds long.
# - actual    text: 'add milk and cheese to my shopping list'
# - processed text: 'at murg and cheese to my shoppinglest'
# - processed in 2.957 seconds.
# - WER = 0.5
# File (23_E_2.wav):
# - 2.3648125 seconds long.
# - actual    text: 'create a new appointment'
# - processed text: 'create and new aponement'
# - processed in 2.368 seconds.
# - WER = 0.5
# File (23_E_3.wav):
# - 7.4136875 seconds long.
# - actual    text: 'put doctor smith on my calendar for nineteenth of july at five pm'
# - processed text: 'put ductoss ment un my calendo for nineteenth of tuly ad five pm'
# - processed in 7.62 seconds.
# - WER = 0.462
# File (23_E_4.wav):
# - 5.19075 seconds long.
# - actual    text: 'remind me to mow the lawn next saturday'
# - processed text: 'remind me to mo the long next sucidy'
# - processed in 5.366 seconds.
# - WER = 0.375
# File (23_E_5.wav):
# - 3.03875 seconds long.
# - actual    text: 'what reminders do i have for this weekend'
# - processed text: 'what remind us doi have for this week and'
# - processed in 3.096 seconds.
# - WER = 0.625
# File (23_F_1.wav):
# - 2.6485625 seconds long.
# - actual    text: 'give me articles about politics'
# - processed text: 'give me articles and bot politics'
# - processed in 2.667 seconds.
# - WER = 0.4
# File (23_F_2.wav):
# - 1.4898125 seconds long.
# - actual    text: 'tell me the news'
# - processed text: 'tur meu tha neuse'
# - processed in 1.488 seconds.
# - WER = 1.0
# File (23_F_3.wav):
# - 1.619875 seconds long.
# - actual    text: 'what happened today'
# - processed text: 'what happened o day'
# - processed in 1.643 seconds.
# - WER = 0.667
# File (23_F_4.wav):
# - 2.6840625 seconds long.
# - actual    text: 'which news topics are available'
# - processed text: 'which news topics are va lable'
# - processed in 2.693 seconds.
