Loading inference model from files models/output_graph.pbLoaded inference model in 0.259s.Loading language model from files models/alphabet.txt models/trieLoaded language model in 22.4s.# File (1089-134686-0000.flac):
# - 8.395 seconds long.
# - actual    text: 'oh my lord cried miss woodley with a most forcible accent you are the last person on earth she would pardon me for entrusting'
# - processed text: 'oh my lord cried miss willy went a most forcible accent you are the last person on earth she would pardon me for entrusting'
# - processed in 47.644 seconds.
# - WER = 0.083
# File (4992-23283-0010.flac):
# - 5.0 seconds long.
# - actual    text: 'but in such a case miss milner's election of a husband shall not direct mine'
# - processed text: 'but in such a case miss milner's election of a husband shall not direct mine'
# - processed in 28.349 seconds.
# - WER = 0.0
# File (4992-23283-0011.flac):
# - 4.225 seconds long.
# - actual    text: 'if she does not know how to estimate her own value i do'
# - processed text: 'if she does not know how to estimate her own value i do'
# - processed in 24.031 seconds.
# - WER = 0.0
# File (4992-23283-0012.flac):
# - 21.735 seconds long.
# - actual    text: 'independent of her fortune she has beauty to captivate the heart of any man and with all her follies she has a frankness in her manner an unaffected wisdom in her thoughts a vivacity in her conversation and withal a softness in her demeanour that might alone engage the affections of a man of the nicest sentiments and the strongest understanding'
# - processed text: 'independent of her fortune she has beauty to captivate the heart of any man and with all her follies she has a frankness in her manner and unaffected wisdom in her thoughts of a vanity in her conversation and with all a softness in her demeanor that might alone engage the affections of a man of the nicest sentiments and the strongest understanding'
# - processed in 124.304 seconds.
# - WER = 0.098
# File (4992-23283-0013.flac):
# - 6.63 seconds long.
# - actual    text: 'my lord miss milner's taste is not a depraved one it is but too refined'
# - processed text: 'my lord miss miller's taste is not a depraved one it is but to refind'
# - processed in 37.327 seconds.
# - WER = 0.188
# File (4992-23283-0014.flac):
# - 4.535 seconds long.
# - actual    text: 'what can you mean by that miss woodley you talk mysteriously'
# - processed text: 'what can you mean by that miss woodley you talk mysteriously'
# - processed in 25.892 seconds.
# - WER = 0.0
# File (4992-23283-0015.flac):
# - 3.675 seconds long.
# - actual    text: 'is she not afraid that i will thwart her inclinations'
# - processed text: 'is she not afraid that i will work her inclinations'
# - processed in 20.856 seconds.
# - WER = 0.1
# File (4992-23283-0016.flac):
# - 4.495 seconds long.
# - actual    text: 'again he searched his own thoughts nor ineffectually as before'
# - processed text: 'again he searched his own thoughts nor ineffectually as before'
# - processed in 25.584 seconds.
# - WER = 0.0
# File (4992-23283-0017.flac):
# - 14.315 seconds long.
# - actual    text: 'miss woodley was too little versed in the subject to know this would have been not to love at all at least not to the extent of breaking through engagements and all the various obstacles that still militated against their union'
# - processed text: 'miss woodley was too little versed in the subject to know this would have been not to love at all at least not to the extent of breaking through engagements at all the berries obstacles that still mitigated against their union'
# - processed in 81.766 seconds.
# - WER = 0.073
# File (4992-23283-0018.flac):
# - 6.575 seconds long.
# - actual    text: 'to relieve her from both he laid his hand with force upon his heart and said do you believe me'
# - processed text: 'to relieve her from both he laid his hand with force upon his heart and said do you believe me'
# - processed in 37.486 seconds.
# - WER = 0.0
# File (4992-23283-0019.flac):
# - 6.585 seconds long.
# - actual    text: 'i will make no unjust use of what i know he replied with firmness i believe you my lord'
# - processed text: 'i will make no unjust use of what i know he replied with firmness i believe you my lord'
# - processed in 37.281 seconds.
# - WER = 0.0
# File (4992-23283-0020.flac):
# - 10.42 seconds long.
# - actual    text: 'i have never yet however been vanquished by them and even upon this occasion my reason shall combat them to the last and my reason shall fail me before i do wrong'
# - processed text: 'i have never yet however been vanquished by them and even upon this occasion my reason shall combat them to the last and my reason shall fail me before i do wrong'
# - processed in 59.694 seconds.
# - WER = 0.0
# File (5105-28233-0000.flac):
# - 4.51 seconds long.
# - actual    text: 'length of service fourteen years three months and five days'
# - processed text: 'length of service fourteen years three months and five days'
# - processed in 25.176 seconds.
# - WER = 0.0
# File (5105-28233-0001.flac):
# - 4.49 seconds long.
# - actual    text: 'he seemed born to please without being conscious of the power he possessed'
# - processed text: 'he seemed born to please without being conscious of the power he possessed'
# - processed in 25.623 seconds.
# - WER = 0.0
# File (5105-28233-0002.flac):
# - 8.285 seconds long.
# - actual    text: 'it must be owned and no one was more ready to confess it than himself that his literary attainments were by no means of a high order'
# - processed text: 'it must be owned and no one was more ready to confess it than himself that his literary attainments were by no means of a high order'
# - processed in 46.88 seconds.
# - WER = 0.0
# File (5105-28233-0003.flac):
# - 14.81 seconds long.
# - actual    text: 'we don't spin tops is a favorite saying amongst artillery officers indicating that they do not shirk their duty by frivolous pursuits but it must be confessed that servadac being naturally idle was very much given to spinning tops'
# - processed text: 'we don't spend tops is a favourite saying amongst artillery officers indicating that they do not shirk their duty by frivolous pursuits but it must be confessed that servadac being naturally idle was very much given to spinning tops'
# - processed in 83.307 seconds.
# - WER = 0.05
# File (5105-28233-0004.flac):
# - 4.735 seconds long.
# - actual    text: 'once in action he was leading a detachment of infantry through an intrenchment'
# - processed text: 'once an action he was leaving at attachment of infantry through an intrenchment'
# - processed in 27.081 seconds.
# - WER = 0.308
# File (5105-28233-0005.flac):
# - 11.39 seconds long.
# - actual    text: 'sometimes he would wander on foot upon the sandy shore and sometimes he would enjoy a ride along the summit of the cliff altogether being in no hurry at all to bring his task to an end'
# - processed text: 'sometimes he would wander on foot upon the sandy shore sometimes he would enjoy a ride along the summit of the cliff altogether being in no hurry at all to bring his task to an end'
# - processed in 64.97 seconds.
# - WER = 0.027
# File (5105-28233-0006.flac):
# - 5.505 seconds long.
# - actual    text: 'no cathedral not even burgos itself could vie with the church at montmartre'
# - processed text: 'no cathedral at even burges itself could vie with the church at montmartre'
# - processed in 30.885 seconds.
# - WER = 0.154
# File (5105-28233-0007.flac):
# - 26.14 seconds long.
# - actual    text: 'ben zoof's most ambitious desire was to induce the captain to go with him and end his days in his much loved home and so incessantly were servadac's ears besieged with descriptions of the unparalleled beauties and advantages of this eighteenth arrondissement of paris that he could scarcely hear the name of montmartre without a conscious thrill of aversion'
# - processed text: 'bend of most ambitious desire was to induce the captain to go with him and end his days in his much loved home and so incessantly were servicers besieged with descriptions of the unparalleled beauties and advantages of this eighteenth or on decimal of paris that he could scarcely hear the name of montmartre without a conscious thrill of aversion'
# - processed in 147.08 seconds.
# - WER = 0.148
# File (5105-28233-0008.flac):
# - 10.73 seconds long.
# - actual    text: 'when a private in the eighth cavalry he had been on the point of quitting the army at twenty eight years of age but unexpectedly he had been appointed orderly to captain servadac'
# - processed text: 'when a private in the eighth cavalry he had been on the point of quitting the army at twenty eight years of age but unexpectedly he had been appointed orderly to captain servadac'
# - processed in 61.199 seconds.
# - WER = 0.0
# File (5105-28233-0009.flac):
# - 14.595 seconds long.
# - actual    text: 'the bond of union thus effected could never be severed and although ben zoof's achievements had fairly earned him the right of retirement he firmly declined all honors or any pension that might part him from his superior officer'
# - processed text: 'the bond of union thus effected could never be severed and although ben of achievements had fairly earned him the right of retirement he firmly declined all honours or any pension that might part him from his superior officer'
# - processed in 82.656 seconds.
# - WER = 0.075
# File (5105-28233-0010.flac):
# - 13.595 seconds long.
# - actual    text: 'unlike his master he made no pretension to any gift of poetic power but his inexhaustible memory made him a living encyclopaedia and for his stock of anecdotes and trooper's tales he was matchless'
# - processed text: 'i i his master he made no pretension to any gift of poetic power but his inexhaustible memory made him a living in cyclopedia and for his stock of anecdotes and troopers tales he was matchless'
# - processed in 76.422 seconds.
# - WER = 0.171
# File (5142-33396-0000.flac):
# - 2.005 seconds long.
# - actual    text: 'at another time harald asked'
# - processed text: 'at another time harold asked'
# - processed in 11.409 seconds.
# - WER = 0.2
# File (5142-33396-0001.flac):
# - 5.02 seconds long.
# - actual    text: 'what is your country olaf have you always been a thrall the thrall's eyes flashed'
# - processed text: 'what is your country all off have you always been a thrall the thralls eyes flashed'
# - processed in 28.63 seconds.
# - WER = 0.25
# File (5142-33396-0002.flac):
# - 3.67 seconds long.
# - actual    text: 'two hundred warriors feasted in his hall and followed him to battle'
# - processed text: 'two hundred warriors feasted in his hall and followed him to battle'
# - processed in 20.933 seconds.
# - WER = 0.0
# File (5142-33396-0003.flac):
# - 3.47 seconds long.
# - actual    text: 'the rest of you off a viking he had three ships'
# - processed text: 'the rest of you off of viking he had three ships'
# - processed in 19.625 seconds.
# - WER = 0.091
# File (5142-33396-0004.flac):
# - 2.215 seconds long.
# - actual    text: 'these he gave to three of my brothers'
# - processed text: 'these he gave to three five brothers'
# - processed in 12.374 seconds.
# - WER = 0.25
# File (5142-33396-0005.flac):
# - 2.225 seconds long.
# - actual    text: 'but i stayed that spring and built me a boat'
# - processed text: 'but i stayed that spring and built me a boat'
# - processed in 12.576 seconds.
# - WER = 0.0
# File (5142-33396-0006.flac):
# - 6.23 seconds long.
# - actual    text: 'i made her for only twenty oars because i thought few men would follow me for i was young fifteen years old'
# - processed text: 'i made her folly twenty oars because i thought you men would follow me probus young fifteen years old'
# - processed in 35.247 seconds.
# - WER = 0.273
# File (5142-33396-0007.flac):
# - 4.975 seconds long.
# - actual    text: 'at the prow i carved the head with open mouth and forked tongue thrust out'
# - processed text: 'at the prow i care the head with open mouth and forked tongue thrust out'
# - processed in 27.87 seconds.
# - WER = 0.067
# File (5142-33396-0008.flac):
# - 2.11 seconds long.
# - actual    text: 'i painted the eyes red for anger'
# - processed text: 'i painted the eyes red for anger'
# - processed in 11.969 seconds.
# - WER = 0.0
# File (5142-33396-0009.flac):
# - 3.37 seconds long.
# - actual    text: 'there stand so i said and glare and hiss at my foes'
# - processed text: 'there stand so i said and glare in his if my shoes'
# - processed in 19.17 seconds.
# - WER = 0.333
# File (5142-33396-0010.flac):
# - 3.455 seconds long.
# - actual    text: 'in the stern i curved the tail up almost as high as the head'
# - processed text: 'in a star i care the tail of almost as high as the head'
# - processed in 19.899 seconds.
# - WER = 0.286
# File (5142-33396-0011.flac):
# - 3.52 seconds long.
# - actual    text: 'there she sat on the rollers as fair a ship as i ever saw'
# - processed text: 'there she sat on the roller a fair ship as i ever saw'
# - processed in 20.222 seconds.
# - WER = 0.214
# File (5142-33396-0012.flac):
# - 4.59 seconds long.
# - actual    text: 'then i will get me a farm and will winter in that land now who will follow me'
# - processed text: 'then i will get me a farm and will win her in that land now who will follow me'
# - processed in 26.035 seconds.
# - WER = 0.111
# File (5142-33396-0013.flac):
# - 2.11 seconds long.
# - actual    text: 'he is but a boy the men said'
# - processed text: 'he is but a boy and then said'
# - processed in 11.891 seconds.
# - WER = 0.25
# File (5142-33396-0014.flac):
# - 3.245 seconds long.
# - actual    text: 'thirty men one after another raised their horns and said'
# - processed text: 'thirty men one after another raised their horns and said'
# - processed in 18.103 seconds.
# - WER = 0.0
# File (5142-33396-0015.flac):
# - 4.31 seconds long.
# - actual    text: 'as our boat flashed down the rollers into the water i made this song and sang it'
# - processed text: 'as our boat flashed down the rollers into the water i made this song and sang it'
# - processed in 24.354 seconds.
# - WER = 0.0
# File (5142-33396-0016.flac):
# - 2.165 seconds long.
# - actual    text: 'so we harried the coast of norway'
# - processed text: 'so we harried the coast of norway'
# - processed in 12.225 seconds.
# - WER = 0.0
# File (5142-33396-0017.flac):
# - 2.635 seconds long.
# - actual    text: 'we ate at many men's tables uninvited'
# - processed text: 'we ate at many men's tables on invited'
# - processed in 14.893 seconds.
# - WER = 0.25
# File (5142-33396-0018.flac):
# - 3.94 seconds long.
# - actual    text: 'my dragon's belly is never full and on board went the gold'
# - processed text: 'a dragon's belly is never full and on board went the gold'
# - processed in 22.304 seconds.
# - WER = 0.077
# File (5142-33396-0019.flac):
# - 4.985 seconds long.
# - actual    text: 'oh it is better to live on the sea and let other men raise your crops and cook your meals'
# - processed text: 'oh it is better to live on the sea and let other men raise your crops and cook your meals'
# - processed in 28.511 seconds.
# - WER = 0.0
# File (5142-33396-0020.flac):
# - 3.315 seconds long.
# - actual    text: 'a house smells of smoke a ship smells of frolic'
# - processed text: 'a house smells of smoke a ship's smells of frolic'
# - processed in 18.692 seconds.
# - WER = 0.1
# File (5142-33396-0021.flac):
# - 3.505 seconds long.
# - actual    text: 'up and down the water we went to get much wealth and much frolic'
# - processed text: 'up and down the water we went to get much wealth and much frolic'
# - processed in 19.998 seconds.
# - WER = 0.0
# File (5142-33396-0022.flac):
# - 4.77 seconds long.
# - actual    text: 'what of the farm olaf not yet i answered viking is better for summer'
# - processed text: 'what of the farm all love not yet i answered by king is better for summer'
# - processed in 27.083 seconds.
# - WER = 0.286
# File (5142-33396-0023.flac):
# - 3.48 seconds long.
# - actual    text: 'it was so dark that i could see nothing but a few sparks on the hearth'
# - processed text: 'you was so dark that i could see nothing but a few sparks on the hearth'
# - processed in 20.06 seconds.
# - WER = 0.062
# File (5142-33396-0024.flac):
# - 5.345 seconds long.
# - actual    text: 'i stood with my back to the wall for i wanted no sword reaching out of the dark for me'
# - processed text: 'i stood with my back to the wall for i want no sword reaching out of the dark for me'
# - processed in 30.161 seconds.
# - WER = 0.05
# File (5142-33396-0025.flac):
# - 3.32 seconds long.
# - actual    text: 'come come i called when no one obeyed a fire'
# - processed text: 'come come i called when no one obeyed a fire'
# - processed in 18.649 seconds.
# - WER = 0.0
# File (5142-33396-0026.flac):
# - 3.075 seconds long.
# - actual    text: 'my men laughed yes a stingy host'
# - processed text: 'my men laughed yes a stingy host'
# - processed in 17.372 seconds.
# - WER = 0.0
# File (5142-33396-0027.flac):
# - 2.235 seconds long.
# - actual    text: 'he acts as though he had not expected us'
# - processed text: 'he cooes not expected us'
# - processed in 12.544 seconds.
# - WER = 0.556
# File (5142-33396-0028.flac):
# - 3.755 seconds long.
# - actual    text: 'on a bench in a far corner were a dozen people huddled together'
# - processed text: 'on a bench in a far corner were a dozen people huddled together'
# - processed in 21.3 seconds.
# - WER = 0.0
# File (5142-33396-0029.flac):
# - 2.135 seconds long.
# - actual    text: 'bring in the table we are hungry'
# - processed text: 'bring in the table we are hungry'
# - processed in 12.275 seconds.
# - WER = 0.0
# File (5142-33396-0030.flac):
# - 2.765 seconds long.
# - actual    text: 'the thralls were bringing in a great pot of meat'
# - processed text: 'the thralls were ringing in a great pot of me'
# - processed in 15.743 seconds.
# - WER = 0.2
# File (5142-33396-0031.flac):
# - 7.845 seconds long.
# - actual    text: 'they set up a crane over the fire and hung the pot upon it and we sat and watched it boil while we joked at last the supper began'
# - processed text: 'they set up a crane over the fire and hung upon upon it and we sat and watched the boy while we joked at last the supper began'
# - processed in 44.729 seconds.
# - WER = 0.138
# File (5142-33396-0032.flac):
# - 9.785 seconds long.
# - actual    text: 'the farmer sat gloomily on the bench and would not eat and you cannot wonder for he saw us putting potfuls of his good beef and basket loads of bread into our big mouths'
# - processed text: 'the farmer sat gloomily on the bench and were not eat and you can not wonder for he saw his putting potfuls of his good beef and basketloads of bread and darrig mouths'
# - processed in 55.397 seconds.
# - WER = 0.265
# File (5142-33396-0033.flac):
# - 5.28 seconds long.
# - actual    text: 'you would not eat with us you cannot say no to half of my ale i drink this to your health'
# - processed text: 'you would not eat with us you cannot say no to half of my ale i drink this to your health'
# - processed in 29.852 seconds.
# - WER = 0.0
# File (5142-33396-0034.flac):
# - 6.615 seconds long.
# - actual    text: 'then i drank half of the hornful and sent the rest across the fire to the farmer he took it and smiled saying'
# - processed text: 'then i drank half of the mournful and set the rest across the fire to the farmer he took it and smile saying'
# - processed in 37.769 seconds.
# - WER = 0.13
# File (5142-33396-0035.flac):
# - 3.945 seconds long.
# - actual    text: 'did you ever have such a lordly guest before i went on'
# - processed text: 'did you ever have such a lordly guest before i went on'
# - processed in 22.33 seconds.
# - WER = 0.0
# File (5142-33396-0036.flac):
# - 4.26 seconds long.
# - actual    text: 'so i will give out this law that my men shall never leave you alone'
# - processed text: 'so i will give out this law that my men shall never leave you alone'
# - processed in 24.59 seconds.
# - WER = 0.0
# File (5142-33396-0037.flac):
# - 3.575 seconds long.
# - actual    text: 'hakon there shall be your constant companion friend farmer'
# - processed text: 'hawk and there shall be your constant companion for in former'
# - processed in 20.084 seconds.
# - WER = 0.556
# File (5142-33396-0038.flac):
# - 4.18 seconds long.
# - actual    text: 'he shall not leave you day or night whether you are working or playing or sleeping'
# - processed text: 'you shall not leave you day or night whether you were working or playing or sleeping'
# - processed in 23.842 seconds.
# - WER = 0.125
# File (5142-33396-0039.flac):
# - 1.995 seconds long.
# - actual    text: 'i named nine others and said'
# - processed text: 'i name none others and said'
# - processed in 11.407 seconds.
# - WER = 0.333
# File (5142-33396-0040.flac):
# - 2.81 seconds long.
# - actual    text: 'and these shall follow your thralls in the same way'
# - processed text: 'and i shall follow your thralls in the same way'
# - processed in 16.056 seconds.
# - WER = 0.1
# File (5142-33396-0041.flac):
# - 2.83 seconds long.
# - actual    text: 'so i set guards over every one in that house'
# - processed text: 'so i set guards over every one in that house'
# - processed in 15.93 seconds.
# - WER = 0.0
# File (5142-33396-0042.flac):
# - 6.095 seconds long.
# - actual    text: 'so no tales got out to the neighbors besides it was a lonely place and by good luck no one came that way'
# - processed text: 'so retails got out to the neighbours beside there was a lonely place and by good luck no one came that way'
# - processed in 34.529 seconds.
# - WER = 0.217
# File (5142-33396-0043.flac):
# - 3.77 seconds long.
# - actual    text: 'their eyes danced big thorleif stood up and stretched himself'
# - processed text: 'their eyes danced big poorly stood up and stretched himself'
# - processed in 21.23 seconds.
# - WER = 0.1
# File (5142-33396-0044.flac):
# - 4.855 seconds long.
# - actual    text: 'i am stiff with long sitting he said i itch for a fight i turned to the farmer'
# - processed text: 'i'm stiff with long sitting he said i as for a fight i turned to the farmer'
# - processed in 27.41 seconds.
# - WER = 0.056
# File (5142-33396-0045.flac):
# - 2.385 seconds long.
# - actual    text: 'this is our last feast with you i said'
# - processed text: 'this is our last feast with you i said'
# - processed in 13.428 seconds.
# - WER = 0.0
# File (5142-33396-0046.flac):
# - 3.745 seconds long.
# - actual    text: 'by the beard of odin i cried you have taken our joke like a man'
# - processed text: 'by the beard of old i cried you have taken our joke like a man'
# - processed in 21.187 seconds.
# - WER = 0.067
# File (5142-33396-0047.flac):
# - 2.535 seconds long.
# - actual    text: 'my men pounded the table with their fists'
# - processed text: 'my men pounded the table with their fists'
# - processed in 14.25 seconds.
# - WER = 0.0
# File (5142-33396-0048.flac):
# - 3.96 seconds long.
# - actual    text: 'by the hammer of thor shouted grim here is no stingy coward'
# - processed text: 'by the hammer of thor shouted grim there is no sting a coward'
# - processed in 22.557 seconds.
# - WER = 0.25
# File (5142-33396-0049.flac):
# - 3.305 seconds long.
# - actual    text: 'here friend take it and he thrust it into the farmer's hand'
# - processed text: 'here friend take it and thrust it into the farmer's hand'
# - processed in 18.685 seconds.
# - WER = 0.077
# File (5142-33396-0050.flac):
# - 2.885 seconds long.
# - actual    text: 'may you drink heart's ease from it for many years'
# - processed text: 'that you drink hearts ease from it for many years'
# - processed in 16.348 seconds.
# - WER = 0.273
# File (5142-33396-0051.flac):
# - 5.57 seconds long.
# - actual    text: 'and with it i leave you a name sif the friendly i shall hope to drink with you sometime in valhalla'
# - processed text: 'and with it i leave you a name sift the friendly i shall hope to drink with you sometime in valhalla'
# - processed in 31.292 seconds.
# - WER = 0.048
# File (5142-33396-0052.flac):
# - 5.88 seconds long.
# - actual    text: 'here is a ring for sif the friendly and here is a bracelet a sword would not be ashamed to hang at your side'
# - processed text: 'here is a ring for sif the friendly and here is a bracelet and a sword would not be ashamed to hang at your side'
# - processed in 33.306 seconds.
# - WER = 0.042
# File (5142-33396-0053.flac):
# - 3.93 seconds long.
# - actual    text: 'i took five great bracelets of gold from our treasure chest and gave them to him'
# - processed text: 'i took five great bracelets of gold from our treasure chest and gave them to him'
# - processed in 22.611 seconds.
# - WER = 0.0
# File (5142-33396-0054.flac):
# - 5.745 seconds long.
# - actual    text: 'that is the best way to decide for the spear will always point somewhere and one thing is as good as another'
# - processed text: 'that is the best way to decide the spire will always point somewhere and one thing is as good as another'
# - processed in 32.556 seconds.
# - WER = 0.091
# File (5142-33396-0055.flac):
# - 2.77 seconds long.
# - actual    text: 'that time it pointed us into your father's ships'
# - processed text: 'that time at pointed into your father's ships'
# - processed in 15.291 seconds.
# - WER = 0.2
# File (5142-33396-0056.flac):
# - 3.07 seconds long.
# - actual    text: 'here they said is a rascal who has been harrying our coasts'
# - processed text: 'here they said as a rascal who's been harrying our coast'
# - processed in 17.278 seconds.
# - WER = 0.25
# File (5142-33396-0057.flac):
# - 3.075 seconds long.
# - actual    text: 'we sunk his ship and men but him we brought to you'
# - processed text: 'we sank his ship and men but him we brought to you'
# - processed in 17.532 seconds.
# - WER = 0.083
# File (5142-33396-0058.flac):
# - 3.225 seconds long.
# - actual    text: 'a robber viking said the king and scowled at me'
# - processed text: 'a robber faking said the king and he scowled at me'
# - processed in 18.003 seconds.
# - WER = 0.2
# File (5142-33396-0059.flac):
# - 5.47 seconds long.
# - actual    text: 'yes and with all your fingers it took you a year to catch me the king frowned more angrily'
# - processed text: 'yes and with all your fingers i took you a year to catch me the king frowned more angrily'
# - processed in 31.01 seconds.
# - WER = 0.053
# File (5142-33396-0060.flac):
# - 2.615 seconds long.
# - actual    text: 'take him out thorkel and let him taste your sword'
# - processed text: 'take him out to work all and let him take your sword'
# - processed in 14.955 seconds.
# - WER = 0.4
# File (5142-33396-0061.flac):
# - 2.14 seconds long.
# - actual    text: 'your mother the queen was standing by'
# - processed text: 'your mother the queen was standing by'
# - processed in 12.015 seconds.
# - WER = 0.0
# File (5142-33396-0062.flac):
# - 2.9 seconds long.
# - actual    text: 'now she put her hand on his arm and smiled and said'
# - processed text: 'now she put her hand on his arm and smiled and said'
# - processed in 16.192 seconds.
# - WER = 0.0
# File (5142-33396-0063.flac):
# - 2.515 seconds long.
# - actual    text: 'and would he not be a good gift for our baby'
# - processed text: 'and would he not be a good gift for our baby'
# - processed in 14.491 seconds.
# - WER = 0.0
# File (5142-33396-0064.flac):
# - 3.3 seconds long.
# - actual    text: 'your father thought a moment then looked at your mother and smiled'
# - processed text: 'your father thought a moment and looked at her mother and smiled'
# - processed in 18.943 seconds.
# - WER = 0.167
# File (5142-33396-0065.flac):
# - 5.195 seconds long.
# - actual    text: 'soft heart he said gently to her then to thorkel well let him go thorkel'
# - processed text: 'soft heart he said gently to her then to torcal well let em go to work'
# - processed in 29.327 seconds.
# - WER = 0.267
# File (5142-33396-0066.flac):
# - 2.215 seconds long.
# - actual    text: 'then he turned to me again frowning'
# - processed text: 'then he turned to me again frowning'
# - processed in 12.329 seconds.
# - WER = 0.0
# File (5142-33396-0067.flac):
# - 5.565 seconds long.
# - actual    text: 'but young sharp tongue now that we have caught you we will put you into a trap that you cannot get out of'
# - processed text: 'but young sharp tongue now that we've caught you will put you into a trap that you cannot get out of'
# - processed in 31.332 seconds.
# - WER = 0.043
# File (5142-33396-0068.flac):
# - 4.235 seconds long.
# - actual    text: 'so i lived and now am your tooth thrall well it is the luck of war'
# - processed text: 'so i lived and now i'm your tooth thora well it is the luck of war'
# - processed in 23.993 seconds.
# - WER = 0.125
# File (5639-40744-0000.flac):
# - 15.77 seconds long.
# - actual    text: 'eleven o'clock had struck it was a fine clear night they were the only persons on the road and they sauntered leisurely along to avoid paying the price of fatigue for the recreation provided for the toledans in their valley or on the banks of their river'
# - processed text: 'eleven o'clock had struck it was a fine clear night there were the only persons on the road and they sauntered leisurely along to avoid paying the price of fatigue for the recreation provided for the toledans in the valley or on the banks of their river'
# - processed in 89.215 seconds.
# - WER = 0.043
# File (5639-40744-0001.flac):
# - 12.44 seconds long.
# - actual    text: 'secure as he thought in the careful administration of justice in that city and the character of its well disposed inhabitants the good hidalgo was far from thinking that any disaster could befal his family'
# - processed text: 'secure as he thought and the careful administration of justice in that city and the character of its well disposed inhabitants the good hidalgo was far from thinking that any disaster could be fall his family'
# - processed in 70.497 seconds.
# - WER = 0.086
# File (5639-40744-0002.flac):
# - 8.91 seconds long.
# - actual    text: 'rodolfo and his companions with their faces muffled in their cloaks stared rudely and insolently at the mother the daughter and the servant maid'
# - processed text: 'rudolph and his companions with their faces muffled in their cloaks stared rudely and insolently at the mother the daughter and the servant made'
# - processed in 49.861 seconds.
# - WER = 0.083
# File (5639-40744-0003.flac):
# - 27.12 seconds long.
# - actual    text: 'in a moment he communicated his thoughts to his companions and in the next moment they resolved to turn back and carry her off to please rodolfo for the rich who are open handed always find parasites ready to encourage their bad propensities and thus to conceive this wicked design to communicate it approve it resolve on ravishing leocadia and to carry that design into effect was the work of a moment'
# - processed text: 'in a moment he communicated his thoughts to his companions and in the next moment they resolved to turn back and carry her off to please rudolf for the rich who are open handed always fine parasite ready to encourage their bad propensities and thus to conceive this wicked design to communicate it approve it resolve on raish and leocadia and to carry that design into effect was the work of a moment'
# - processed in 152.43 seconds.
# - WER = 0.069
# File (5639-40744-0004.flac):
# - 12.475 seconds long.
# - actual    text: 'they drew their swords hid their faces in the flaps of their cloaks turned back and soon came in front of the little party who had not yet done giving thanks to god for their escape from those audacious men'
# - processed text: 'they drew their swords hid their faces in the flaps of their cloaks turned back and soon came in front of the little party who had not yet done giving thanks to god for the escape from those owdacious men'
# - processed in 70.119 seconds.
# - WER = 0.05
# File (5639-40744-0005.flac):
# - 5.645 seconds long.
# - actual    text: 'finally the one party went off exulting and the other was left in desolation and woe'
# - processed text: 'finally the one party went off exulting and the other was left in desolation and woe'
# - processed in 31.964 seconds.
# - WER = 0.0
# File (5639-40744-0006.flac):
# - 8.045 seconds long.
# - actual    text: 'rodolfo arrived at his own house without any impediment and leocadia's parents reached theirs heart broken and despairing'
# - processed text: 'rodolfo arrived at his own house without any impediment alcadius parents reached their heart broken and despairing'
# - processed in 44.948 seconds.
# - WER = 0.211
# File (5639-40744-0007.flac):
# - 5.825 seconds long.
# - actual    text: 'meanwhile rodolfo had leocadia safe in his custody and in his own apartment'
# - processed text: 'meanwhile rudulf had localise in his custody and in his own apartment'
# - processed in 32.241 seconds.
# - WER = 0.231
# File (5639-40744-0008.flac):
# - 2.215 seconds long.
# - actual    text: 'who touches me am i in bed'
# - processed text: 'gracious me and i am bad'
# - processed in 12.45 seconds.
# - WER = 0.714
# File (5639-40744-0009.flac):
# - 2.375 seconds long.
# - actual    text: 'mother dear father do you hear me'
# - processed text: 'mother do your father do you hear me'
# - processed in 13.558 seconds.
# - WER = 0.286
# File (5639-40744-0010.flac):
# - 4.12 seconds long.
# - actual    text: 'it is the only amends i ask of you for the wrong you have done me'
# - processed text: 'it is the only amends i ask of you for the wrong you have done me'
# - processed in 23.479 seconds.
# - WER = 0.0
# File (5639-40744-0011.flac):
# - 2.665 seconds long.
# - actual    text: 'she found the door but it was locked outside'
# - processed text: 'she found a door but it was locked outside'
# - processed in 14.885 seconds.
# - WER = 0.111
# File (5639-40744-0012.flac):
# - 8.595 seconds long.
# - actual    text: 'she succeeded in opening the window and the moonlight shone in so brightly that she could distinguish the colour of some damask hangings in the room'
# - processed text: 'she succeeded in opening the window and the moonlight shone in so brightly that she could distinguish the color of some damask hanging in the room'
# - processed in 48.318 seconds.
# - WER = 0.077
# File (5639-40744-0013.flac):
# - 6.865 seconds long.
# - actual    text: 'she saw that the bed was gilded and so rich that it seemed that of a prince rather than of a private gentleman'
# - processed text: 'she saw that the bed was gilded and so rich that it seemed that other prince about her that of a private gentleman'
# - processed in 38.793 seconds.
# - WER = 0.217
# File (5639-40744-0014.flac):
# - 7.72 seconds long.
# - actual    text: 'among other things on which she cast her eyes was a small crucifix of solid silver standing on a cabinet near the window'
# - processed text: 'among other things on which she cast her eyes was a small crucifix of solid silver standing on a cabinet near the window'
# - processed in 43.925 seconds.
# - WER = 0.0
# File (5639-40744-0015.flac):
# - 11.02 seconds long.
# - actual    text: 'this person was rodolfo who though he had gone to look for his friends had changed his mind in that respect not thinking it advisable to acquaint them with what had passed between him and the girl'
# - processed text: 'this person was resultful who though he had gone to look for his friends had changed his mind in that respect nothing in it advisable to acquaint them be what had passed between him and the girl'
# - processed in 62.524 seconds.
# - WER = 0.108
